grapple_sub_crucifix|Crucifix Choke
grapple_sub_monoplata|Monoplata
grapple_sub_bow_arrow|Bow and Arrow Choke
grapple_sub_inv_triangle|Inverted Triangle
grapple_sub_lapel|Lapеl Choke
grapple_sub_cross_collar|Cross Collar Choke
grapple_sub_ankle|Ankle Lock
grapple_sub_kneebar|Kneebar
grapple_sub_toehold|Toehold
grapple_sub_calf_slicer|Calf Slicer
grapple_sub_estima|Estima Lock
grapple_sub_in_heel|Inside Heel Hook
grapple_sub_out_heel|Outside Heel Hook
grapple_sub_baseball|Baseball Bat Choke
grapple_sub_loop|Loop Choke
1_2_knee_touches|1-2 Knee Touches
1_2___jab__plus__cross|1-2 — Jab + Cross
active_side_swings|Active Side Swings
air_punches|Air Punches
armbar|Armbar
basic_footwork|Basic Footwork
closed_guard|Closed Guard
double_leg_takedown|Double Leg Takedown
dumbbell_bench_press|Dumbbell Bench Press
front_kick|Front Kick
front_kick_1_second_with_chair|Front Kick 1 Second with Chair
half_guard_to_full_guard|Half Guard to Full Guard
high_intensity|High Intensity
hip_bump_sweep|Hip Bump Sweep
hip_escape|Hip Escape
jab|Jab
jumping_spinning_back_kick|Jumping Spinning Back Kick
knee_slice_pass|Knee Slice Pass
light_intensity|Light Intensity
max_intensity|Max Intensity
normal_intensity|Normal Intensity
push_kick__plus__spinning_middle_kick__plus__middle_side_kick|Push Kick + Spinning Middle Kick + Middle Side Kick
shifting|Shifting
slip|Slip
split_side_stretch|Split Side Stretch
stance|Stance
targeting_the_body|Targeting the Body
darce_choke|D'Arce Choke
firemans_carry|Fireman's Carry
v_up|V-Up
single_arm_renegade_row|Single Arm Renegade Row
fire_hydrant|Fire Hydrant
donkey_kicks|Donkey Kicks
curtsy_lunges|Curtsy Lunges
butt_bridge|Butt Bridge
bicycle_crunches|Bicycle Crunches
backward_lunge|Backward Lunge
arm_raises|Arm Raises
arm_circles|Arm Circles
